"Freq [GHz]","dB(S(SMA_conn_CS_2_1_1,SMA_conn_CS_2_1_1)) []","dB(S(SMA_conn_CS_2_2_1,SMA_conn_CS_2_1_1)) []"
6.76,-10.6466206339806,-0.94341609825856
6.78,-10.9042284147245,-0.926523935531074
6.8,-11.1778324852642,-0.910043283677986
6.82,-11.4686851339982,-0.894045923757673
6.84,-11.7781942997182,-0.878604844704809
6.86,-12.1079506896657,-0.863794041747363
6.88,-12.4597610644477,-0.849688294790928
6.9,-12.8356893936727,-0.836362926807477
6.92,-13.2381081332323,-0.823893542518426
6.94,-13.6697626162226,-0.812355747940434
6.96,-14.1338525532605,-0.801824851662815
6.98,-14.6341359890022,-0.792375549045048
7,-15.1750628478301,-0.784081590856439
7.02,-15.7619474650924,-0.777015438221566
7.04,-16.4011920874706,-0.771247906078262
7.06,-17.1005754573232,-0.766847797691838
7.08,-17.8696196526322,-0.763881533091031
7.1,-18.7200364368915,-0.762412774589754
7.12,-19.666208318976,-0.762502052823569
7.14,-20.7255111182264,-0.76420639695296
7.16,-21.9178296037045,-0.767578972856856
7.18,-23.2622351469076,-0.772668733251921
7.2,-24.7646612339737,-0.779520083718295
7.22,-26.3792548102725,-0.788172568585899
7.24,-27.908825319845,-0.798660580531399
7.26,-28.8710652101251,-0.811013097555187
7.28,-28.7167015582391,-0.825253450748122
7.3,-27.5335308696476,-0.841399125924268
7.32,-25.9125738407296,-0.859461601792305
7.34,-24.2703305933313,-0.879446226872905
7.36,-22.7585548242993,-0.901352136852701
7.38,-21.4061019737813,-0.925172213507209
7.4,-20.2022540082527,-0.950893085740872
7.42,-19.1272156316188,-0.97849517269449
7.44,-18.1615477180562,-1.00795276827418
7.46,-17.2885591757454,-1.03923416587627
7.48,-16.494514184987,-1.07230182153281
7.5,-15.7682433752945,-1.10711255319618
7.52,-15.1006614885034,-1.14361777342848
7.54,-14.484336889541,-1.18176375237381
7.56,-13.913142496185,-1.22149190757345
7.58,-13.3819825599401,-1.26273911694229
7.6,-12.8865813919596,-1.30543805106132
7.62,-12.4233202569406,-1.34951752085428
7.64,-11.989111017111,-1.39490283670702
7.66,-11.581297658783,-1.44151617514828
7.68,-11.1975789957418,-1.48927694933704
7.7,-10.8359475285494,-1.53810217978513
7.72,-10.4946407064585,-1.58790686197713
7.74,-10.1721017784482,-1.6386043278229
7.76,-9.86694811351196,-1.69010659818236
7.78,-9.57794538266546,-1.7423247240286
7.8,-9.30398637503059,-1.79516911415391
7.82,-9.04407350360546,-1.84854984766703
7.84,-8.79730426889555,-1.90237696987023
7.86,-8.56285910921922,-1.95656077043538
7.88,-8.339991188764,-2.01101204311434
7.9,-8.12801776819729,-2.0656423265144
7.92,-7.92631287499331,-2.12036412574237
7.94,-7.73430104688524,-2.17509111496841
7.96,-7.55145196586653,-2.22973832117961
7.98,-7.37727583482731,-2.28422228958641
8,-7.21131937637725,-2.33846123130762
8.02,-7.05316235529371,-2.39237515409785
8.04,-6.90241454357508,-2.44588597699032
8.06,-6.75871306120888,-2.49891762981543
8.08,-6.62172003720346,-2.55139613861744
8.1,-6.49112054473577,-2.60324969803513
